DataSN,Title,Source,FileName,File_Title,File_URL,發布單位
9364727,114年02月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=2AA2AF53443FA38C,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTM2NDcyNy9kOTViZjBjMS02M2VkLTQ0MjktOTg0MS1jYWMxMTlhZTZiYTgucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9364727/d95bf0c1-63ed-4429-9841-cac119ae6ba8.pdf,臺北市南港區戶政事務所
9348331,114年01月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=AB17BC8854FDC194,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTM0ODMzMS9mNDc0M2NkZi1mYmUwLTRlNGMtYTc1ZS00OGI3YmIwNzg1ZDMucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9348331/f4743cdf-fbe0-4e4c-a75e-48b7bb0785d3.pdf,臺北市南港區戶政事務所
9333936,113年12月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=04ECEEF23319CEDE,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTMzMzkzNi83M2ZlNGU1OC1hNzg2LTRhMWUtOGMzOC0yY2U4YmQ1NzE2NTMucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9333936/73fe4e58-a786-4a1e-8c38-2ce8bd571653.pdf,臺北市南港區戶政事務所
9316991,113年11月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=BF4D1BE1EE519DDE,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTMxNjk5MS80MzBiZjRjNS1iZmNjLTQ2NWYtYTBkOC1lMDNmZmYzYzU4NjUucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9316991/430bf4c5-bfcc-465f-a0d8-e03fff3c5865.pdf,臺北市南港區戶政事務所
9302756,113年10月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=08D3BDF81AAF37DC,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTMwMjc1Ni8yMGJlYzcxNS05YWE0LTRhZmItYjcxOC1jODQ1NTE3NWViNWQucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9302756/20bec715-9aa4-4afb-b718-c8455175eb5d.pdf,臺北市南港區戶政事務所
9286124,113年09月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=27C15C417FBC1218,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTI4NjEyNC83NzZlNWM0Mi0yYWE4LTQ4NGUtYjFmZC1lM2U1NzU1MjJkOGYucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9286124/776e5c42-2aa8-484e-b1fd-e3e575522d8f.pdf,臺北市南港區戶政事務所
9269127,113年08月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=DC6BC8719A2857B0,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTI2OTEyNy8wOWIxMWIxZC0xN2MxLTRkYzAtYTY5Yi01MjMzZWU1YzkyMGEucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9269127/09b11b1d-17c1-4dc0-a69b-5233ee5c920a.pdf,臺北市南港區戶政事務所
9251530,113年07月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=85E1C4FE0A6091C7,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTI1MTUzMC8wYTA1YTI4OC1kYmM3LTRlYmEtOGY5My02NGU3ODlkNWE4ZmEucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9251530/0a05a288-dbc7-4eba-8f93-64e789d5a8fa.pdf,臺北市南港區戶政事務所
9233500,113年06月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=1B6FCEB29BB1ECD1,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTIzMzUwMC81NDc0MDBhYy1kM2E0LTQ3N2QtODM3MC0zZTU4N2U5Y2ZkZjQucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9233500/547400ac-d3a4-477d-8370-3e587e9cfdf4.pdf,臺北市南港區戶政事務所
9187496,113年05月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=18E7C8B645EDF3CE,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTE4NzQ5Ni84YTRhNWQ0MC05YTk0LTRmMjYtYmUzOS0yZWNmMGFlMDRiZWUucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9187496/8a4a5d40-9a94-4f26-be39-2ecf0ae04bee.pdf,臺北市南港區戶政事務所
9166729,113年04月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=4E7732A9BBA24DD2,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTE2NjcyOS80ZmJkYmY5MC1mZmNiLTRhZmItODdkMS1lZTU3ZmE4ZmFhMTIucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9166729/4fbdbf90-ffcb-4afb-87d1-ee57fa8faa12.pdf,臺北市南港區戶政事務所
9148547,113年03月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=E5DD840FA23C32B9,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTE0ODU0Ny9iNGY2ZTQxMi1lYjIyLTQwYWMtYTE3NC0wMDRiYzkwZDE3ZDIucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9148547/b4f6e412-eb22-40ac-a174-004bc90d17d2.pdf,臺北市南港區戶政事務所
9129778,113年02月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=C55A9F560A27A3EE,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTEyOTc3OC84NjFkNzdmYy1iZDc0LTRjZmEtYTQyMi1iNzA0OWY4N2ZiOWEucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9129778/861d77fc-bd74-4cfa-a422-b7049f87fb9a.pdf,臺北市南港區戶政事務所
9116401,113年01月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=89E122FC5464BF83,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTExNjQwMS9hNzg4MGIyYi03N2YyLTQxNTktOWQxNC0xNWViMWZjNTE3ZmUucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9116401/a7880b2b-77f2-4159-9d14-15eb1fc517fe.pdf,臺北市南港區戶政事務所
9097716,112年12月,https://nghr.gov.taipei/News_Content.aspx?n=61F2AD42984534EA&s=92902E7D20C30FC5,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDI1L3JlbGZpbGUvMjEwNjcvOTA5NzcxNi9kMzBkODgyZi0yN2FjLTQ1MWUtYTdjMC0wNzJiYTE5YTcxMzQucGRm&n=Meavj%2baciOWQhOmHjOmEsOaVuOOAgeaItuaVuOWSjOeUt%2bWls%2bS6uuWPo%2baVuC5wZGY%3d,1每月各里鄰數、戶數和男女人口數,https://www-ws.gov.taipei/001/Upload/425/relfile/21067/9097716/d30d882f-27ac-451e-a7c0-072ba19a7134.pdf,臺北市南港區戶政事務所
